"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"261","Clock Rate",0.05,0.15,0.665771784018007
"262","Clock Rate",0.05,0.25,0.793952693590926
"263","Clock Rate",0.05,0.75,0.658046329224581
"264","Clock Rate",0.05,1.5,0.892025013183825
"265","Clock Rate",0.05,3,0.956644916555969
"266","Generation",0.1,0.1,0.45471610083154
"267","Clock Rate",0.1,0.1,0.289477549872255
"268","Clock Rate",0.1,0.2,0.376409028689524
"269","Clock Rate",0.1,0.5,0.856791761462772
"270","Clock Rate",0.1,1,0.911022060758268
"271","Clock Rate",0.1,2,0.961008909710964
"272","Clock Rate",0.1,0.05,0.298303577103047
"273","Clock Rate",0.1,0.15,0.739566052273665
"274","Clock Rate",0.1,0.25,0.790155485740031
"275","Clock Rate",0.1,0.75,0.699883538186472
"276","Clock Rate",0.1,1.5,0.899500467150291
"277","Clock Rate",0.1,3,0.962077279449452
"278","Generation",0.1,0.2,0.553552187650888
"279","Clock Rate",0.1,0.1,0.289477549872255
"280","Clock Rate",0.1,0.2,0.376409028689524
"281","Clock Rate",0.1,0.5,0.856791761462772
"282","Clock Rate",0.1,1,0.911022060758268
"283","Clock Rate",0.1,2,0.961008909710964
"284","Clock Rate",0.1,0.05,0.298303577103047
"285","Clock Rate",0.1,0.15,0.739566052273665
"286","Clock Rate",0.1,0.25,0.790155485740031
"287","Clock Rate",0.1,0.75,0.699883538186472
"288","Clock Rate",0.1,1.5,0.899500467150291
"289","Clock Rate",0.1,3,0.962077279449452
"290","Generation",0.1,0.5,0.779381754805885
"291","Clock Rate",0.1,0.1,0.289477549872255
"292","Clock Rate",0.1,0.2,0.376409028689524
"293","Clock Rate",0.1,0.5,0.856791761462772
"294","Clock Rate",0.1,1,0.911022060758268
"295","Clock Rate",0.1,2,0.961008909710964
"296","Clock Rate",0.1,0.05,0.298303577103047
"297","Clock Rate",0.1,0.15,0.739566052273665
"298","Clock Rate",0.1,0.25,0.790155485740031
"299","Clock Rate",0.1,0.75,0.699883538186472
"300","Clock Rate",0.1,1.5,0.899500467150291
"301","Clock Rate",0.1,3,0.962077279449452
